#    0                    1                    2              3              4           5         6         7             8          9         10           11         12         13         14         15         16            17              18              19              20              21          22
#  NUM         GLITCH-UTC-S         GLITCH-UTC-E  GLITCH-LMST-S  GLITCH-LMST-E    U-GLITCH  V-GLITCH  W-GLITCH         U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI    AZI_3D_GAI  AZI_ERR_3D_GAI      INC_3D_GAI  INC_ERR_3D_GAI      SNR_3D_GAI  POL_3D_GAI
# --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000151  2019-05-23T23:19:19  2019-05-23T23:19:44   173M23:21:20   173M23:21:44           0         1         1           279       1447       1376     6.38e-09   1.99e-08   1.77e-08   6.38e-09   1.99e-08   1.77e-08          40.0             5.9            85.4             6.8            27.3       0.982
000152  2019-05-23T23:21:52  2019-05-23T23:22:17   173M23:23:49   173M23:24:13           1         1         0           630        934        499     4.77e-09   1.37e-08   7.47e-09   4.77e-09   1.37e-08   7.47e-09         186.7            10.2            90.6            10.8            4.88       0.915
000153  2019-05-23T23:43:22  2019-05-23T23:43:47   173M23:44:44   173M23:45:08           0         1         1           509      16115      29868     1.18e-07   2.02e-07   2.87e-07   1.18e-07   2.02e-07   2.87e-07          55.0             0.3           108.5             0.3        2.27e+04       1.000


#   +-------------------------------------------------------------------------------------------------------------------------+
#   | DATA:                                                                                                                   |
#   |   path:                       Example/XB.ELYSE.03.BH?_2019-05-22T23:18:50.649000Z-2019-05-23T23:59:36.249000Z_raw.mseed |
#   |   IDs:                        XB.ELYSE.03.BHU, XB.ELYSE.03.BHV, XB.ELYSE.03.BHW                                         |
#   |   UTC start:                  2019-05-22T23:18:50                                                                       |
#   |   UTC end:                    2019-05-23T23:59:36                                                                       |
#   |   UTC length (without gaps):  1 day, 0:41:40 (h:m:s)                                                                    |
#   |   LMST start:                 172M23:59:24                                                                              |
#   |   LMST end:                   174M00:00:32                                                                              |
#   |   LMST length (without gaps): 1 sol, 0:02:01 (h:m:s)                                                                    |
#   |                                                                                                                         |
#   | PARAMETERS:                                                                                                             |
#   |   Taper length per side %:    0.0                                                                                       |
#   |   Pre filtering:              False                                                                                     |
#   |   Water level:                60                                                                                        |
#   |   ACCfilter:                  bandpass                                                                                  |
#   |                               0.001 < f < 0.1                                                                           |
#   |   Threshold:                  5e-10 nm/s**3                                                                             |
#   |   Show triggering:            False                                                                                     |
#   |   Glitches' min dist:         5 s                                                                                       |
#   |   Glitch length (fix):        25 s                                                                                      |
#   |   Glitch min polarization:    0.91                                                                                      |
#   |                                                                                                                         |
#   | RESULTS:                                                                                                                |
#   |     Glitches all:             153                                                                                       |
#   |        all / sol:             153                                                                                       |
#   |             on U:             99                                                                                        |
#   |             on V:             99                                                                                        |
#   |             on W:             94                                                                                        |
#   |        only on U:             13                                                                                        |
#   |        only on V:             22                                                                                        |
#   |        only on W:             21                                                                                        |
#   |     indi./ all %:             36.6                                                                                      |
#   |                                                                                                                         |
#   | Done in:   0:01:05 (h:m:s), 0:01:05 / sol.                                                                              |
#   | Timestamp: 2020-07-30T18:07:14                                                                                          |
#   +-------------------------------------------------------------------------------------------------------------------------+
