#     0                    1                    2              3              4         5         6         7          8          9         10           11         12         13         14         15         16           17         18         19         20         21         22           23         24         25         26         27         28           29         30         31         32         33         34            35          36          37          38            39          40          41          42            43          44          45          46            47          48          49          50
#   NUM         GLITCH-UTC-S         GLITCH-UTC-E  GLITCH-LMST-S  GLITCH-LMST-E  U-GLITCH  V-GLITCH  W-GLITCH      U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI        U-DIS      V-DIS      W-DIS      Z-DIS      N-DIS      E-DIS        U-VEL      V-VEL      W-VEL      Z-VEL      N-VEL      E-VEL        U-ACC      V-ACC      W-ACC      Z-ACC      N-ACC      E-ACC    PHI_3D_GAI  INC_3D_GAI  SNR_3D_GAI  POL_3D_GAI    PHI_3D_DIS  INC_3D_DIS  SNR_3D_DIS  POL_3D_DIS    PHI_3D_VEL  INC_3D_VEL  SNR_3D_VEL  POL_3D_VEL    PHI_3D_ACC  INC_3D_ACC  SNR_3D_ACC  POL_3D_ACC
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000011:  2019-06-01T23:03:54  2019-06-01T23:04:19   182S17:19:34   182S17:19:58         1         1         1      -3066       5083      -2113    -3.55e-08   5.62e-08  -2.44e-08  -5.73e-09   6.33e-08   1.41e-08    -1.25e-07   2.05e-07  -8.38e-08  -9.44e-09   2.33e-07   6.01e-08     1.48e-07   3.52e-07  -1.29e-07   6.09e-08   3.57e-07   9.43e-08    -2.33e-07   2.31e-07  -2.59e-07   2.85e-07   1.16e-07   1.54e-07         187.5        90.9     109.492       0.995         185.9        89.2      59.505       0.992         193.4        81.3       2e+03       1.000         315.2         5.1           3       0.880
000012:  2019-06-01T23:11:25  2019-06-01T23:11:50   182S17:26:54   182S17:27:18         1         1         1       -864       1526       -765       -1e-08   1.69e-08  -8.84e-09  -2.17e-09   1.86e-08   5.29e-09    -5.16e-08    7.4e-08  -2.95e-08   9.52e-09   8.83e-08   -2.1e-08    -5.33e-08    1.1e-07   5.85e-08   7.79e-08   9.89e-08  -5.01e-08    -1.51e-07  -1.15e-07  -1.36e-07  -2.47e-07  -4.62e-08   -8.9e-08         193.5        90.6      57.893       0.992         195.4        88.1      18.316       0.974         157.7        55.6       3e+02       0.999         320.0         6.0       2e+01       0.980
000013:  2019-06-01T23:13:02  2019-06-01T23:13:27   182S17:28:28   182S17:28:52         1         1         1      -1188       2072       -911    -1.38e-08   2.29e-08  -1.05e-08  -3.06e-09   2.58e-08  -7.84e-09     5.95e-08   1.27e-07  -7.72e-08   2.17e-09   1.34e-07   5.73e-08     1.52e-08   8.17e-08   6.83e-08    1.1e-07  -4.37e-08  -2.72e-08     9.14e-08  -1.26e-07  -1.23e-07  -1.06e-07  -1.18e-07   1.15e-07         191.6        90.5      24.564       0.980         194.9        89.8      10.511       0.957         337.7       156.6       2e+02       0.998           4.1       155.5           1       0.774
000014:  2019-06-01T23:15:26  2019-06-01T23:15:51   182S17:30:48   182S17:31:13         1         1         1      -1159       2055       -891    -1.34e-08   2.27e-08  -1.03e-08  -2.17e-09   2.51e-08   6.29e-09    -5.68e-08   7.55e-08  -2.96e-08  -2.43e-09   8.95e-08   1.76e-08     6.59e-08  -2.11e-07   2.08e-08   1.22e-07  -1.88e-07   6.98e-09     1.07e-07   8.59e-08   8.34e-08  -9.76e-08   7.17e-08   1.18e-07         189.0        89.9      76.338       0.994         183.9        89.6     109.134       0.995         358.6       121.8       1e+03       1.000           4.1       153.5         0.4       0.635
000015:  2019-06-01T23:18:42  2019-06-01T23:19:07   182S17:33:59   182S17:34:23         1         1         1       -741       1041       -364     -8.6e-09   1.15e-08  -4.22e-09  -2.08e-09   1.32e-08  -2.41e-09     3.32e-08  -5.04e-08  -1.55e-08   2.16e-09  -5.81e-08   5.51e-09     2.16e-08   9.94e-08  -3.12e-08   7.92e-08  -7.69e-08    1.6e-08    -6.19e-08  -8.33e-08  -7.54e-08  -7.84e-08  -5.44e-08   -6.9e-08         182.1        89.9      41.721       0.988           4.2        91.5     804.105       0.999         352.3       132.9       3e+02       0.999           7.8       159.1           1       0.799
000016:  2019-06-01T23:21:40  2019-06-01T23:22:05   182S17:36:52   182S17:37:16         1         1         1       -646       1058       -536     -7.5e-09   1.17e-08  -6.19e-09  -2.49e-09   1.31e-08   3.33e-09     3.42e-08   4.65e-08  -2.45e-08   -1.8e-09  -5.37e-08   2.64e-08      6.9e-08   2.24e-07   -1.3e-08   1.03e-07      2e-07   2.19e-08    -6.86e-08   8.21e-08   5.81e-08   9.79e-08   5.66e-08  -7.99e-08         189.5        90.9      24.597       0.980         359.0        90.2      11.947       0.961         185.0        63.9       2e+03       1.000         359.9       159.2           1       0.757
000017:  2019-06-01T23:26:36  2019-06-01T23:27:01   182S17:41:40   182S17:42:04         1         0         0       -569        846       -281     -6.6e-09   9.35e-09  -3.26e-09  -1.05e-09   1.07e-08  -1.29e-09    -5.64e-08   9.99e-08  -4.14e-08  -1.48e-09   1.12e-07      2e-08     8.13e-08  -2.35e-08   8.76e-08   9.97e-08  -7.83e-08  -2.53e-08      4.2e-08  -7.31e-08   4.54e-08  -9.62e-08  -4.25e-08    3.5e-08         182.0        90.3     104.104       0.995         184.6        89.7     253.780       0.998          18.3        33.1       1e+02       0.997           3.8       162.5           9       0.948
000018:  2019-06-01T23:27:08  2019-06-01T23:27:33   182S17:42:11   182S17:42:36         1         0         0       -552        756       -366    -6.41e-09   8.37e-09  -4.23e-09  -1.24e-09   9.52e-09   3.16e-09    -3.76e-08   5.38e-08  -4.18e-08   1.22e-08   5.87e-08   3.24e-08     2.33e-08  -5.11e-08  -6.21e-08   8.58e-08  -2.12e-08   2.83e-08     -4.5e-08  -7.77e-08   4.75e-08  -8.43e-08  -5.07e-08  -3.75e-08         187.7        87.7      12.612       0.963         186.6        85.0       8.785       0.949         310.0       160.1       1e+02       0.995         176.9        15.9       1e+01       0.953
000019:  2019-06-01T23:29:12  2019-06-01T23:29:37   182S17:44:12   182S17:44:36         1         1         1       -732       1259       -548     -8.5e-09   1.39e-08  -6.34e-09   1.27e-09   1.58e-08   3.26e-09     6.17e-08  -9.16e-08   -4.1e-08  -7.53e-09  -1.08e-07   2.09e-08     1.12e-07  -9.13e-09  -4.06e-08   9.66e-08  -7.39e-08    3.2e-08     4.48e-08   7.58e-08   5.37e-08  -8.73e-08  -4.16e-08   2.88e-08         188.2        92.0      58.110       0.992           7.4        86.6      77.149       0.994         336.9        38.1       2e+02       0.997         173.5        14.7           9       0.949
000020:  2019-06-01T23:32:49  2019-06-01T23:33:14   182S17:47:43   182S17:48:07         1         1         1       -865       2070      -1182       -1e-08   2.29e-08  -1.37e-08  -1.07e-09   2.48e-08   9.49e-09    -3.92e-08  -7.33e-08  -6.06e-08   -4.5e-09   8.16e-08    5.3e-08     1.12e-08   1.87e-07   -1.5e-08   1.17e-07   1.42e-07   4.82e-08     4.32e-08   6.73e-08   6.16e-08  -9.56e-08   3.91e-08  -3.11e-08         201.6        90.7     266.377       0.998         198.1        90.7      21.604       0.978         196.4        53.1       6e+02       0.999         167.6        13.8       1e+01       0.956
