#     0                    1                    2              3              4         5         6         7          8          9         10           11         12         13         14         15         16           17         18         19         20         21         22           23         24         25         26         27         28           29         30         31         32         33         34            35          36          37          38            39          40          41          42            43          44          45          46            47          48          49          50
#   NUM         GLITCH-UTC-S         GLITCH-UTC-E  GLITCH-LMST-S  GLITCH-LMST-E  U-GLITCH  V-GLITCH  W-GLITCH      U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI        U-DIS      V-DIS      W-DIS      Z-DIS      N-DIS      E-DIS        U-VEL      V-VEL      W-VEL      Z-VEL      N-VEL      E-VEL        U-ACC      V-ACC      W-ACC      Z-ACC      N-ACC      E-ACC    PHI_3D_GAI  INC_3D_GAI  SNR_3D_GAI  POL_3D_GAI    PHI_3D_DIS  INC_3D_DIS  SNR_3D_DIS  POL_3D_DIS    PHI_3D_VEL  INC_3D_VEL  SNR_3D_VEL  POL_3D_VEL    PHI_3D_ACC  INC_3D_ACC  SNR_3D_ACC  POL_3D_ACC
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000033:  2019-06-02T00:13:02  2019-06-02T00:13:27   182S18:26:51   182S18:27:16         1         0         0       -582        660        167    -6.75e-09    7.3e-09   1.94e-09  -1.36e-09   9.13e-09     -2e-09     2.44e-08  -3.19e-08  -1.13e-08  -8.17e-09  -3.78e-08   1.12e-08    -1.53e-07   1.91e-07   5.12e-08   6.12e-08   2.14e-07  -8.29e-08     7.66e-08  -7.62e-08  -8.59e-08   1.33e-07   3.46e-08   3.99e-08         172.4        92.7      57.612       0.991         359.5        94.1      19.606       0.976         159.0        73.9       2e+03       1.000         282.3       174.8       3e+01       0.984
000034:  2019-06-02T00:18:32  2019-06-02T00:18:57   182S18:32:12   182S18:32:37         1         1         0      -1004       1223       -221    -1.16e-08   1.35e-08  -2.56e-09  -9.14e-10   1.64e-08  -2.61e-09    -6.39e-08   6.73e-08   1.22e-08   3.89e-09   8.38e-08   -2.3e-08     2.12e-08  -1.52e-08   1.04e-07   5.71e-08  -2.87e-08   8.26e-08     6.04e-08   -7.5e-08  -8.94e-08   -1.4e-07  -2.54e-08   3.13e-08         171.1        91.0      93.566       0.995         172.8        89.3      56.268       0.991         262.0       122.6       8e+01       0.994         298.2       172.8       4e+01       0.987
000035:  2019-06-02T00:19:59  2019-06-02T00:20:24   182S18:33:37   182S18:34:02         1         1         0      -1028       1166        166    -1.19e-08   1.29e-08   1.93e-09  -2.07e-09   1.59e-08  -3.73e-09    -6.77e-08   6.65e-08  -1.79e-08   8.47e-09   8.58e-08  -2.26e-08     5.14e-08  -6.22e-08  -1.87e-08   5.24e-09  -7.65e-08    1.1e-08      6.8e-08  -8.44e-08  -8.34e-08  -1.41e-07  -3.46e-08  -3.33e-08         169.7        91.8      48.229       0.990         168.6        91.6      22.879       0.979           2.5        87.6       5e+01       0.991         112.1         7.6       2e+01       0.980
000036:  2019-06-02T00:21:37  2019-06-02T00:22:02   182S18:35:12   182S18:35:37         1         1         0      -1255       1489       -259    -1.46e-08   1.65e-08     -3e-09  -1.13e-09   2.01e-08  -3.62e-09    -7.32e-08   8.79e-08  -3.23e-08  -6.01e-09   1.06e-07   1.84e-08    -1.32e-07   1.29e-07   3.33e-08   2.07e-08    1.6e-07  -7.09e-08    -7.04e-08  -7.06e-08   7.92e-08  -1.36e-07  -2.77e-08  -3.42e-08         172.8        90.8     211.653       0.998         174.3        90.2      47.347       0.990         156.8        83.9       1e+03       1.000          90.9         6.2       3e+01       0.985
000037:  2019-06-02T00:22:41  2019-06-02T00:23:06   182S18:36:15   182S18:36:39         1         1         1      -1475       1903       -416    -1.71e-08    2.1e-08  -4.81e-09   1.23e-09   2.55e-08  -2.43e-09    -7.31e-08   8.39e-08   1.35e-08   3.96e-09   1.02e-07  -1.92e-08     2.82e-07  -2.97e-07   3.45e-08   3.21e-08  -3.67e-07  -1.16e-07    -1.08e-07  -8.94e-08   8.41e-08  -1.43e-07  -9.97e-08   6.49e-08         175.5        90.8     284.891       0.998         173.0        89.3     518.000       0.999         342.2        94.5       7e+03       1.000         299.9       171.8           4       0.889
000038:  2019-06-02T00:26:31  2019-06-02T00:26:56   182S18:39:59   182S18:40:23         1         1         0       -664        647        208     -7.7e-09   7.16e-09   2.41e-09   1.41e-09   9.32e-09   3.57e-09    -5.22e-08   3.36e-08   2.96e-08   -5.1e-09   4.68e-08  -4.51e-08     9.42e-08   1.01e-07  -4.34e-08   1.76e-08  -1.29e-07   1.06e-08     6.75e-08     -7e-08  -9.81e-08  -1.39e-07   2.43e-08   4.25e-08         154.5        92.7      19.956       0.976         138.5        90.4      19.711       0.976           2.2        82.8       2e+02       0.997          96.3         8.2       4e+01       0.987
000039:  2019-06-02T00:28:25  2019-06-02T00:28:50   182S18:41:49   182S18:42:14         1         1         0       -714        925       -300    -8.29e-09   1.02e-08  -3.47e-09  -1.01e-09   1.23e-08  -1.93e-09    -3.02e-08   4.13e-08  -1.35e-08      7e-09   4.45e-08   2.27e-09    -1.29e-07   1.57e-07  -2.96e-08   3.48e-09   1.91e-07  -1.69e-08    -6.97e-08   8.15e-08  -8.91e-08  -1.39e-07   2.94e-08   4.33e-08         179.0        90.8      82.672       0.994         178.8        86.0      62.705       0.992         175.9        89.8       3e+03       1.000         274.3       173.3       3e+01       0.983
000040:  2019-06-02T00:33:18  2019-06-02T00:33:43   182S18:46:35   182S18:47:00         1         0         1       -826       -258        502    -9.58e-09  -2.86e-09   5.81e-09  -1.86e-09   5.93e-09  -9.05e-09     3.76e-08  -2.24e-08   1.86e-08  -2.92e-09  -3.34e-08   2.75e-08    -8.58e-08   5.89e-09   6.06e-08   1.48e-08   3.85e-08  -8.95e-08    -6.72e-08  -8.47e-08   -8.9e-08  -1.45e-07      3e-08   7.11e-08         121.2        96.5      22.512       0.979         323.5        87.3       9.257       0.951         109.6        99.1       7e+02       0.999          92.7         6.6       3e+01       0.981
000041:  2019-06-02T00:33:53  2019-06-02T00:34:18   182S18:47:09   182S18:47:33         0         1         0       -436        503        139    -5.06e-09   5.57e-09   1.62e-09  -1.01e-09   6.87e-09  -2.13e-09    -3.22e-08   3.06e-08   1.38e-08   8.19e-09   3.73e-08  -2.15e-08    -2.27e-07   1.55e-07  -5.42e-08  -1.34e-08   2.26e-07  -1.31e-07    -6.31e-08  -9.02e-08   9.05e-08  -1.51e-07   2.89e-08   3.38e-08         163.1        89.2      25.868       0.981         150.3        82.7      14.898       0.969         149.6        92.4       5e+03       1.000         277.2       172.2       4e+01       0.987
000042:  2019-06-02T00:36:57  2019-06-02T00:37:22   182S18:50:08   182S18:50:32         0         1         0       -447        576       -130    -5.19e-09   6.37e-09  -1.51e-09   1.09e-09   7.59e-09   2.33e-09    -4.21e-08   4.94e-08   2.04e-08   4.22e-09   6.17e-08  -2.44e-08     -5.2e-08   4.45e-08  -2.57e-08  -2.33e-08   6.52e-08   1.13e-08     6.86e-08  -7.05e-08   9.34e-08   1.34e-07  -3.25e-08  -4.01e-08         168.6        90.9      36.629       0.987         171.1        92.6       4.753       0.913         172.5       112.8       3e+01       0.984          79.7         8.5       3e+01       0.984
000043:  2019-06-02T00:44:49  2019-06-02T00:45:14   182S18:57:48   182S18:58:12         1         1         0       -477        515       -117    -5.54e-09    5.7e-09  -1.36e-09  -1.35e-09    7.1e-09   -2.4e-09    -3.73e-08   3.74e-08  -7.51e-09   2.33e-09    4.7e-08  -1.54e-08     5.94e-08  -7.04e-09  -1.48e-08   2.94e-08  -3.16e-08   4.22e-08     6.44e-08   7.85e-08  -8.71e-08  -1.32e-07     -3e-08   4.08e-08         165.0        91.5      45.519       0.989         164.0        88.5      74.712       0.993         309.8        62.6       2e+02       0.998         275.3       170.7       3e+01       0.985
000044:  2019-06-02T00:45:50  2019-06-02T00:46:15   182S18:58:47   182S18:59:12         1         1         0       -453        531       -130    -5.25e-09   5.88e-09  -1.51e-09  -9.17e-10   7.27e-09  -2.11e-09    -1.94e-08   2.31e-08  -7.38e-09   4.34e-09    2.7e-08   8.78e-09     5.64e-08  -7.96e-08  -4.39e-08   6.46e-09   -9.5e-08   2.53e-08     6.53e-08  -7.27e-08   9.43e-08    1.4e-07  -2.73e-08   -4.6e-08         170.6        89.8      25.076       0.981         162.6        83.9      25.631       0.981           9.8        86.9       1e+02       0.996          97.5        10.0       3e+01       0.986
000045:  2019-06-02T00:52:16  2019-06-02T00:52:41   182S19:05:03   182S19:05:27         1         1         0       -757        818         79    -8.78e-09   9.05e-09   9.22e-10   1.21e-09   1.13e-08  -3.11e-09     2.22e-08   3.72e-08  -1.93e-08  -6.12e-09   3.87e-08  -1.48e-08    -8.92e-08  -3.35e-08   1.01e-08  -3.74e-08  -6.74e-08  -5.01e-08    -6.43e-08  -7.64e-08   8.97e-08  -1.36e-07   2.68e-08   -3.2e-08         164.3        90.7     120.910       0.996         183.9        82.4      13.821       0.966         326.7        67.5       3e+02       0.998          95.4         8.1       4e+01       0.986
000046:  2019-06-02T01:05:41  2019-06-02T01:06:06   182S19:18:06   182S19:18:30         1         0         0       -358        317        117    -4.16e-09   3.52e-09   1.36e-09  -9.94e-10   4.59e-09  -1.97e-09    -2.55e-08   2.48e-08   6.31e-09  -4.39e-09   3.09e-08  -1.35e-08    -1.29e-07  -8.24e-09  -2.35e-08  -1.04e-07  -7.89e-08  -5.42e-08    -6.05e-08  -7.55e-08  -1.01e-07  -1.35e-07  -2.81e-08   6.03e-08         162.7        92.7      10.885       0.958         161.7        82.1      40.764       0.988         325.6        43.6       8e+02       0.999         273.8       168.3       2e+01       0.981
000047:  2019-06-02T01:09:21  2019-06-02T01:09:46   182S19:21:40   182S19:22:05         1         1         0       -448        398       -177    -5.19e-09   4.41e-09  -2.05e-09  -9.88e-10   5.84e-09  -2.91e-09    -4.13e-08  -4.89e-08   2.21e-08  -5.66e-09  -5.83e-08   1.19e-08    -2.04e-07   7.14e-08   -4.5e-08   -1.2e-07   1.71e-07  -6.43e-08     6.74e-08  -6.68e-08   9.79e-08  -1.24e-07  -2.96e-08  -5.79e-08         160.6        91.4      10.261       0.956           6.1        84.9      14.891       0.969         155.2       128.4       1e+02       0.996          70.2        12.8       2e+01       0.978
000048:  2019-06-02T01:15:09  2019-06-02T01:15:34   182S19:27:19   182S19:27:43         1         0         1       -521       -147        293    -6.04e-09  -1.63e-09   3.39e-09  -2.47e-09   3.85e-09  -5.42e-09     2.09e-08  -8.45e-09   2.27e-08   -8.4e-09  -1.23e-08  -2.71e-08    -1.07e-07  -1.15e-07   -2.7e-08  -1.36e-07    3.8e-08  -9.71e-08    -4.91e-08  -6.67e-08  -8.99e-08  -1.18e-07  -2.42e-08  -4.97e-08         118.8       103.5      17.375       0.973         111.4        93.9       9.256       0.951          69.7       141.1       2e+03       1.000          90.5        14.1       3e+01       0.981
000049:  2019-06-02T01:16:46  2019-06-02T01:17:11   182S19:28:53   182S19:29:18         0         1         0       -279        340       -111    -3.25e-09   3.76e-09  -1.29e-09   1.17e-09   4.24e-09  -1.34e-09    -2.49e-08   2.27e-08  -1.29e-08   4.38e-09   2.84e-08  -1.62e-08    -1.62e-07   4.63e-08  -1.07e-07  -1.52e-07   1.42e-07   1.61e-08    -5.41e-08  -6.07e-08  -8.71e-08  -1.18e-07  -2.97e-08    4.5e-08         171.9        92.6      28.156       0.983         148.8        84.2      28.836       0.983         176.1       136.1       8e+02       0.999         273.3       164.7       2e+01       0.980
000050:  2019-06-02T01:19:50  2019-06-02T01:20:15   182S19:31:52   182S19:32:17         1         0         1       -288        196        155    -3.34e-09   2.17e-09    1.8e-09   1.02e-09   2.91e-09   -2.8e-09    -1.25e-08   1.17e-08   4.29e-09  -5.96e-10   1.52e-08  -6.52e-09    -4.03e-08  -1.12e-07   5.31e-08  -1.37e-07  -5.15e-08  -8.33e-09     5.06e-08  -6.33e-08   8.31e-08  -1.14e-07   2.93e-08  -4.23e-08         135.5        93.0       6.909       0.937         154.0        89.5      19.102       0.975           5.2       160.9       1e+03       1.000          98.5        15.1       2e+01       0.973
000051:  2019-06-02T01:37:20  2019-06-02T01:37:45   182S19:48:54   182S19:49:18         0         1         0       -296        235        -96    -3.44e-09    2.6e-09  -1.11e-09   1.05e-09   3.35e-09  -1.77e-09    -8.53e-09   8.29e-09   6.27e-09  -4.88e-09   9.42e-09  -7.52e-09     4.26e-09  -9.29e-08  -9.01e-08  -1.23e-07   -5.2e-08   4.86e-08    -4.35e-08   -5.2e-08  -7.41e-08     -9e-08   2.71e-08  -4.28e-08         153.2        93.0      10.248       0.956         143.2        74.4       9.160       0.951         315.5       151.3       2e+03       1.000          99.6        21.0       1e+01       0.961
000052:  2019-06-02T01:38:15  2019-06-02T01:38:40   182S19:49:47   182S19:50:12         0         0         1       -228        119        263    -2.65e-09   1.32e-09   3.05e-09   1.08e-09   1.14e-09  -3.63e-09     1.27e-08  -6.37e-09   1.59e-08   2.34e-09  -8.35e-09  -1.84e-08     2.09e-08  -1.73e-07  -4.27e-08  -1.33e-07  -1.31e-07   8.02e-09    -4.38e-08  -5.63e-08  -8.76e-08  -9.12e-08  -3.74e-08   5.22e-08          94.5        92.2       8.997       0.950         108.5        83.8      21.145       0.977         357.9       136.6       2e+03       1.000         280.2       158.1       1e+01       0.961
000053:  2019-06-02T01:40:05  2019-06-02T01:40:30   182S19:51:34   182S19:51:59         1         1         0       -391        454         96    -4.54e-09   5.02e-09   1.11e-09  -1.81e-09   5.92e-09  -1.93e-09    -1.36e-08  -2.36e-08  -5.52e-09  -1.69e-08   2.21e-08  -1.25e-08    -1.55e-07  -1.33e-07   2.12e-08  -1.81e-07  -1.96e-08  -1.26e-07     -3.8e-08  -5.15e-08  -8.17e-08  -9.77e-08   -3.2e-08   4.27e-08         161.0        93.9      10.028       0.955         192.7        69.1       4.333       0.906          81.4       145.8       3e+03       1.000         277.0       160.0       1e+01       0.956
000054:  2019-06-02T01:41:20  2019-06-02T01:41:45   182S19:52:48   182S19:53:12         0         1         0        234        306        148     2.72e-09   3.39e-09   1.72e-09   1.14e-09  -3.83e-09   1.04e-09    -2.98e-08   4.69e-08  -2.22e-08  -3.48e-09   5.51e-08  -1.86e-08    -1.92e-07   8.08e-08  -1.51e-07  -1.79e-07   1.93e-07   2.32e-08     -4.6e-08  -4.83e-08  -7.19e-08  -8.29e-08  -3.99e-08  -4.89e-08         359.3        86.9      15.997       0.971         190.9        93.2      16.030       0.971         182.9       135.6       2e+02       0.997          85.3        24.6       1e+01       0.955
000055:  2019-06-02T01:41:28  2019-06-02T01:41:53   182S19:52:56   182S19:53:20         0         1         0       -302        421       -164    -3.51e-09   4.66e-09   -1.9e-09   1.17e-09   5.49e-09  -1.16e-09    -2.48e-08   1.47e-08  -1.35e-08  -1.73e-09   2.22e-08  -1.84e-08    -1.83e-07   9.96e-08  -1.78e-07  -1.78e-07   2.07e-07    5.2e-08    -3.65e-08  -5.05e-08  -7.58e-08  -8.13e-08  -4.07e-08   5.07e-08         180.5        93.5      21.398       0.978         130.5        87.3      10.260       0.956         190.2       130.7       5e+02       0.999         273.4       155.1           9       0.950
000056:  2019-06-02T01:48:52  2019-06-02T01:49:17   182S20:00:08   182S20:00:32         1         1         0        436       -441        119     5.06e-09  -4.89e-09   1.38e-09   1.09e-09  -6.11e-09   2.11e-09    -7.03e-08   7.43e-08  -9.67e-09  -4.05e-09   9.47e-08  -1.62e-08    -1.76e-07   2.86e-08  -5.68e-08  -1.43e-07   1.22e-07  -4.97e-08    -4.58e-08   3.76e-08   6.78e-08   7.79e-08   3.22e-08  -4.69e-08         350.7        89.0      49.723       0.990         169.4        92.3     123.363       0.996         155.5       142.8       5e+01       0.990          77.6        23.4           8       0.945
000057:  2019-06-02T01:48:58  2019-06-02T01:49:23   182S20:00:14   182S20:00:38         1         1         0       -421        506        117    -4.89e-09    5.6e-09   1.36e-09   1.43e-09   6.62e-09   1.78e-09     2.28e-08  -2.52e-08   7.29e-09  -5.11e-09  -3.07e-08  -1.33e-08    -1.96e-07    4.7e-08  -6.19e-08  -1.44e-07   1.52e-07  -5.18e-08    -3.83e-08   4.64e-08  -7.07e-08  -8.12e-08   2.99e-08   4.99e-08         168.6        91.8      32.306       0.985         343.8        92.1      24.614       0.980         159.3       134.4       4e+02       0.999          87.7        24.1           8       0.947
000058:  2019-06-02T01:57:36  2019-06-02T01:58:01   182S20:08:38   182S20:09:02         1         1         0       -215        237        100     -2.5e-09   2.63e-09   1.16e-09   1.04e-09      3e-09  -1.39e-09    -1.23e-08   1.76e-08  -8.66e-09   4.42e-09   2.13e-08   4.91e-09    -1.67e-07   6.82e-08  -6.59e-08  -1.97e-07   6.02e-08  -5.42e-08     3.26e-08  -3.47e-08   6.43e-08    6.6e-08  -2.59e-08  -4.57e-08         169.7        94.8       9.703       0.953         179.7        86.3       4.803       0.914         134.0       159.4       7e+02       0.999          94.4        28.4           5       0.922
000059:  2019-06-02T02:24:07  2019-06-02T02:24:32   182S20:34:26   182S20:34:51         0         1         1       -234        805       -699    -2.71e-09    8.9e-09  -8.08e-09   1.29e-09      9e-09   7.16e-09    -1.55e-08   3.81e-08  -2.61e-08  -2.46e-09   4.16e-08   2.58e-08    -1.13e-07   5.06e-08  -9.08e-08  -1.56e-07   5.97e-08   -4.3e-09    -6.16e-08    3.9e-08   5.74e-08   3.47e-08   4.33e-08  -5.48e-08         216.5        92.8      29.242       0.983         221.4        92.9       8.323       0.946         183.3       164.4       1e+02       0.996         106.6        68.4         0.4       0.636
000060:  2019-06-02T02:37:15  2019-06-02T02:37:40   182S20:47:13   182S20:47:37         1         1         0       -353        435       -156     -4.1e-09   4.82e-09   -1.8e-09   1.16e-09   5.54e-09  -1.64e-09    -1.26e-08   1.59e-08   -4.5e-09  -3.03e-09   1.95e-08   4.59e-09    -4.56e-08   4.42e-08  -1.26e-07  -1.42e-07   2.14e-08   6.08e-08      4.1e-08  -3.78e-08    5.1e-08   3.31e-08   3.61e-08  -4.85e-08         174.9        93.9      16.455       0.971         168.2        93.9      24.794       0.981         257.7       156.2       1e+03       1.000         280.3        87.7         0.1       0.551
000061:  2019-06-02T02:56:20  2019-06-02T02:56:45   182S21:05:48   182S21:06:12         0         1         0        142        243       -158     1.65e-09   2.69e-09  -1.83e-09  -1.22e-09   2.84e-09   1.62e-09    -1.48e-08    1.9e-08   -7.3e-09  -6.58e-09   2.21e-08   4.17e-09    -1.25e-08   6.88e-08   1.06e-07  -1.18e-07    3.7e-08  -7.09e-08    -3.72e-08    3.6e-08   2.58e-08  -3.61e-08  -2.81e-08   2.49e-08         200.9        98.2       4.100       0.902         176.3        97.2       5.073       0.918         113.7        32.7       2e+02       0.998         290.5        24.2         0.4       0.646
000062:  2019-06-02T02:56:52  2019-06-02T02:57:17   182S21:06:19   182S21:06:43         1         0         1       -481        169        283    -5.58e-09   1.87e-09   3.27e-09  -1.46e-09   3.59e-09  -5.03e-09     1.86e-08   7.44e-09  -1.17e-08   2.11e-09   1.14e-08   1.78e-08    -9.17e-08  -4.77e-08  -5.04e-08  -1.29e-07  -2.45e-08  -2.26e-08     4.06e-08  -3.71e-08  -2.43e-08   3.82e-08  -2.97e-08   3.21e-08         122.6        97.6      29.336       0.984         305.4        84.9      26.776       0.982         318.4        14.6       3e+03       1.000         292.0        28.6         0.4       0.652
000063:  2019-06-02T03:01:41  2019-06-02T03:02:06   182S21:11:00   182S21:11:24         1         0         1        492       -233       -333     5.71e-09  -2.58e-09  -3.85e-09   1.13e-09  -4.19e-09   5.48e-09     1.78e-08   5.53e-09   1.32e-08  -8.89e-10   1.05e-08   1.84e-08     1.06e-08   7.93e-08  -2.18e-07  -8.82e-08   9.61e-08   1.82e-07    -6.66e-08  -3.84e-08    5.3e-08  -3.78e-08   4.65e-08  -6.12e-08         304.7        92.6      28.019       0.983         299.6        91.5     175.542       0.997         241.8       114.5       2e+03       1.000         297.9        70.8         0.5       0.665
000064:  2019-06-02T03:03:57  2019-06-02T03:04:22   182S21:13:12   182S21:13:36         1         1         1      -1087      -2396       2360    -1.26e-08  -2.65e-08   2.73e-08  -8.15e-09  -1.84e-08  -3.21e-08     4.09e-08  -9.23e-08  -9.14e-08  -2.49e-08  -7.29e-08   1.07e-07     3.18e-08  -3.26e-07   9.28e-08  -1.79e-07  -2.44e-07  -1.51e-07     4.55e-08   3.75e-08   3.69e-08   4.41e-08   3.22e-08   3.68e-08          59.9       101.6     240.270       0.998          58.7       101.1      72.152       0.993          31.8       122.5       3e+03       1.000         167.7       158.4         0.3       0.615
000065:  2019-06-02T03:19:31  2019-06-02T03:19:56   182S21:28:21   182S21:28:46         1         1         1       -379        624       -315     -4.4e-09   6.91e-09  -3.65e-09   1.37e-09   7.43e-09    2.3e-09    -1.49e-08    2.9e-08  -2.08e-08    1.5e-09   3.02e-08   1.65e-08    -9.48e-08   6.72e-08  -1.15e-07  -9.69e-08   1.23e-07  -5.32e-08    -1.01e-07  -5.67e-08  -7.21e-08   5.15e-08    7.1e-08   9.16e-08         190.8        92.6      30.389       0.984         203.4        91.9      43.725       0.989         202.9       125.4       1e+03       1.000         123.3        90.5           1       0.771
000066:  2019-06-02T03:24:19  2019-06-02T03:24:44   182S21:33:02   182S21:33:26         0         1         1       -134        330       -217    -1.56e-09   3.66e-09  -2.51e-09   1.66e-09   3.13e-09   2.65e-09     2.83e-09   1.62e-08  -1.14e-08  -3.52e-09   1.44e-08   1.15e-08    -2.03e-08   5.92e-08  -1.04e-07  -9.77e-08   3.54e-08   7.45e-08     8.11e-08   5.73e-08   6.58e-08  -5.08e-08   6.59e-08   7.51e-08         218.5        75.5       6.788       0.936         215.9        77.0      23.458       0.980         295.3       139.8       9e+02       0.999         119.1        73.2        0.02       0.508
000067:  2019-06-02T03:35:19  2019-06-02T03:35:44   182S21:43:44   182S21:44:08         1         1         1       -321       1079       -780    -3.72e-09   1.19e-08  -9.02e-09  -1.17e-09    1.2e-08   7.45e-09     -9.9e-09   3.64e-08  -3.22e-08   2.02e-09   3.65e-08   2.79e-08    -2.87e-08   -3.1e-08   1.21e-07  -8.66e-08  -6.12e-08   -8.2e-08     9.07e-08  -5.67e-08   6.75e-08   -4.6e-08  -6.06e-08     -8e-08         209.4        90.0      74.283       0.993         215.9        90.7      66.683       0.993          54.1        50.0       9e+02       0.999         126.5        62.1        0.04       0.518
000068:  2019-06-02T04:11:15  2019-06-02T04:11:40   182S22:18:42   182S22:19:06         1         0         1        632       -143       -506     7.34e-09  -1.59e-09  -5.85e-09   1.52e-09  -3.75e-09    8.1e-09    -2.34e-08   4.25e-09   2.12e-08   3.19e-09   8.99e-09  -2.83e-08    -2.78e-08  -5.11e-08  -7.54e-08  -6.74e-08  -3.77e-08   6.02e-08    -5.61e-08   5.56e-08    6.3e-08   5.07e-08   5.38e-08  -5.64e-08         292.4        85.4      40.807       0.988         104.1        92.8      45.077       0.989         301.0       133.5       1e+03       1.000         131.1        48.7         0.7       0.708
000069:  2019-06-02T04:19:06  2019-06-02T04:19:31   182S22:26:21   182S22:26:45         0         1         1       -174        433       -287    -2.02e-09   4.79e-09  -3.32e-09   8.82e-10   5.06e-09   2.72e-09    -1.08e-08   3.01e-08  -1.68e-08  -1.76e-09   3.13e-08   1.26e-08    -4.06e-08   8.81e-08   -7.9e-08  -8.43e-08   7.28e-08   6.05e-08     4.13e-08   6.08e-08  -5.39e-08  -5.63e-08   5.76e-08   5.16e-08         204.2        91.5      20.945       0.977         202.4        89.9      96.880       0.995         139.5        47.3       2e+02       0.998         140.2        41.2           2       0.804
000070:  2019-06-02T04:35:42  2019-06-02T04:36:07   182S22:42:30   182S22:42:54         0         0         1       -153       -160        973    -1.78e-09  -1.78e-09   1.12e-08   7.44e-09   2.86e-09  -8.71e-09     4.87e-09   3.29e-09      1e-07   6.41e-08  -1.93e-08  -7.67e-08     2.91e-09  -6.37e-08   3.18e-08    5.6e-08  -5.38e-08  -3.59e-08     9.63e-08  -6.73e-08   9.68e-08  -7.49e-08  -7.78e-08   -1.1e-07          75.6        47.6      49.759       0.990          75.6        50.3      94.935       0.995          17.4       129.6           4       0.907         305.7       115.4           1       0.778
000071:  2019-06-02T04:41:16  2019-06-02T04:41:41   182S22:47:55   182S22:48:20         1         1         0       -421        440        165    -4.88e-09   4.87e-09   1.91e-09   1.54e-09   5.89e-09  -2.15e-09    -1.85e-08   2.69e-08  -7.98e-09  -1.33e-09   3.15e-08   5.18e-09    -7.31e-08    8.2e-09  -5.77e-08  -8.34e-08   5.65e-08      6e-09     1.07e-07   9.09e-08   1.12e-07  -6.44e-08   9.83e-08  -1.29e-07         169.7        92.0      12.611       0.963         174.8        90.5      24.588       0.980         183.3       146.4       8e+02       0.999         307.9       109.9           1       0.774
000072:  2019-06-02T05:19:29  2019-06-02T05:19:54   182S23:25:06   182S23:25:31         1         1         1        335      11698     -22738     3.89e-09   1.29e-07  -2.63e-07   -8.9e-08   1.46e-07   2.22e-07     1.23e-08   4.08e-07   7.98e-07   2.74e-07   4.57e-07  -6.72e-07    -2.22e-08   6.88e-07  -1.66e-06  -6.74e-07   8.44e-07   1.35e-06     6.03e-08  -1.69e-07  -2.38e-07  -1.23e-07  -1.51e-07      2e-07         236.7       108.6   10055.867       1.000         236.8       108.8    4055.180       1.000         238.0       113.0       1e+05       1.000          47.1        70.8           6       0.924
000073:  2019-06-02T05:30:03  2019-06-02T05:30:28   182S23:35:23   182S23:35:48         1         0         1        456        149       -266      5.3e-09   1.66e-09  -3.08e-09   2.52e-09  -3.21e-09   4.95e-09    -1.63e-08  -3.03e-09  -1.16e-08   6.84e-09  -9.45e-09   1.64e-08    -7.61e-09   1.32e-08   4.59e-08  -4.28e-08  -3.61e-09  -3.04e-08    -5.11e-08   6.57e-08   7.49e-08   8.68e-08   5.67e-08   6.01e-08         301.4        71.6      13.829       0.966         296.3        77.7      20.552       0.977          86.0        34.3       4e+02       0.999         134.2        28.5           2       0.828
000074:  2019-06-02T05:37:53  2019-06-02T05:38:18   182S23:43:01   182S23:43:25         1         0         1        254        127       -220     2.95e-09   1.41e-09  -2.54e-09   1.04e-09   1.88e-09   3.39e-09    -9.67e-09   5.91e-09   1.05e-08   2.05e-09  -4.86e-09   -1.3e-08    -7.41e-09   -2.6e-08   2.91e-08  -3.87e-08    1.4e-08  -1.89e-08    -3.88e-08  -6.03e-08   5.82e-08   7.32e-08   -3.6e-08  -4.69e-08         292.8        86.9       4.146       0.903          91.7        87.7       7.188       0.939         128.2        27.4       6e+01       0.992         315.4       154.9           4       0.894
000075:  2019-06-02T05:42:59  2019-06-02T05:43:24   182S23:47:59   182S23:48:23         0         1         1        138        334       -354     1.61e-09    3.7e-09   -4.1e-09  -1.21e-09   3.16e-09   3.84e-09     1.01e-09   1.14e-08  -1.09e-08  -3.53e-09      1e-08   1.09e-08     1.03e-08   3.96e-08  -2.34e-08  -4.65e-08   2.12e-08   6.25e-09    -3.83e-08   6.63e-08  -5.49e-08   7.89e-08  -4.33e-08   4.02e-08         228.1        92.2       9.444       0.952         229.6        98.1      40.402       0.988         174.6        24.3       2e+02       0.998         323.9       158.5           5       0.911
