#     0                    1                    2         3         4         5          6          7          8            9         10         11         12         13         14           15         16         17         18         19         20           21         22         23         24         25         26           27         28         29         30         31         32            33          34          35          36            37          38          39          40            41          42          43          44            45          46          47          48
#   NUM         GLITCH-START           GLITCH-END  U-GLITCH  V-GLITCH  W-GLITCH      U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI        U-DIS      V-DIS      W-DIS      Z-DIS      N-DIS      E-DIS        U-VEL      V-VEL      W-VEL      Z-VEL      N-VEL      E-VEL        U-ACC      V-ACC      W-ACC      Z-ACC      N-ACC      E-ACC    PHI_3D_GAI  INC_3D_GAI  SNR_3D_GAI  POL_3D_GAI    PHI_3D_DIS  INC_3D_DIS  SNR_3D_DIS  POL_3D_DIS    PHI_3D_VEL  INC_3D_VEL  SNR_3D_VEL  POL_3D_VEL    PHI_3D_ACC  INC_3D_ACC  SNR_3D_ACC  POL_3D_ACC
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000041:  2019-06-02T00:47:38  2019-06-02T00:48:03         1         0         0       -322       -173       -155    -3.73e-09  -1.92e-09  -1.79e-09  -2.45e-09   2.59e-09  -2.53e-09     2.47e-08   2.24e-08  -1.12e-08   1.48e-08   2.72e-08   2.05e-08     2.67e-07   3.78e-07   2.62e-07   6.14e-07   8.54e-08   6.51e-08     6.99e-08   9.97e-08   9.91e-08   1.75e-07   3.74e-08  -3.65e-08           4.0       112.3       1.325       0.785         329.7        62.1      14.440       0.968         282.6         2.7       3e+03       1.000           7.4         6.1       3e+01       0.983
000042:  2019-06-02T00:48:01  2019-06-02T00:48:26         1         0         0        117        155       -122     1.37e-09   1.72e-09  -1.42e-09  -1.93e-09   1.89e-09   1.61e-09      2.4e-08  -1.48e-08   1.21e-08   1.17e-08  -2.32e-08   1.04e-08     2.05e-07   3.26e-07   2.28e-07   5.15e-07   9.07e-08   5.86e-08     7.12e-08   1.11e-07   9.18e-08   1.72e-07   3.73e-08  -3.91e-08          76.9       146.0       0.067       0.531         188.9        45.7       0.641       0.695         275.9         4.0       2e+04       1.000         347.6         7.1       4e+01       0.987
000043:  2019-06-02T00:49:14  2019-06-02T00:49:39         0         0         1       -388        400       -341     -4.5e-09   4.43e-09  -3.95e-09  -2.67e-09   5.46e-09   4.29e-09    -4.04e-08   3.61e-08  -1.96e-08   1.41e-08   4.99e-08  -9.86e-09     2.57e-07   -3.7e-08   2.37e-07   3.24e-07  -1.98e-07   5.63e-08    -8.83e-08  -2.21e-07   1.57e-07   2.15e-07  -1.89e-07  -1.74e-07         348.5       103.9       4.746       0.913         348.7        67.8      16.384       0.971         211.6        32.6       3e+02       0.998         147.5         6.9       1e+01       0.961
000044:  2019-06-02T00:49:21  2019-06-02T00:49:46         0         0         1       -387        411       -327    -4.49e-09   4.55e-09  -3.79e-09  -2.47e-09   5.51e-09    4.2e-09     4.38e-08  -3.34e-08   -1.3e-08  -1.57e-08  -5.01e-08   1.22e-08     2.29e-07  -5.86e-08   2.32e-07   3.01e-07  -1.88e-07  -5.29e-08     8.82e-08   2.17e-07   2.08e-07   2.19e-07  -1.77e-07  -1.81e-07         346.6       101.7       4.389       0.907         166.4       105.5     152.436       0.997         232.4        28.7       4e+01       0.988         324.3         6.3       1e+01       0.963
000045:  2019-06-02T00:49:33  2019-06-02T00:49:58         0         0         1       -377        383       -153    -4.37e-09   4.24e-09  -1.77e-09  -1.34e-09   5.48e-09  -2.11e-09     4.12e-08  -4.12e-08   1.12e-08  -7.44e-09  -5.35e-08   1.36e-08     1.88e-07  -7.98e-08   2.12e-07   2.62e-07  -1.69e-07  -7.29e-08        1e-07   1.39e-07   1.33e-07   2.22e-07   6.11e-08  -5.36e-08         344.2        91.9       6.680       0.935         176.3       100.9      17.414       0.973         122.8        40.2       4e+01       0.988         321.3         7.5       6e+01       0.992
000046:  2019-06-02T00:49:59  2019-06-02T00:50:24         0         0         1       -128       -190       -150    -1.49e-09  -2.11e-09  -1.74e-09   -1.6e-09  -2.06e-09   1.74e-09     2.01e-08  -2.75e-08   1.13e-08  -1.32e-08   -2.8e-08   1.59e-08     7.87e-08    9.4e-08   1.58e-07   1.62e-07   4.97e-08  -1.08e-07     9.84e-08   1.41e-07   1.35e-07    2.3e-07   5.55e-08  -6.55e-08          97.7       101.1       0.420       0.648         137.1       142.9       3.944       0.899         316.3        75.7       9e+01       0.994         323.4         9.4       6e+01       0.992
000047:  2019-06-02T00:52:18  2019-06-02T00:52:43         1         1         0       -945        958        154     -1.1e-08   1.06e-08   1.78e-09   1.62e-09   1.35e-08  -4.37e-09     7.07e-08  -7.78e-08  -2.44e-08  -1.02e-08  -9.47e-08   3.84e-08     1.68e-07  -7.87e-08   1.39e-08   6.23e-08  -1.49e-07   7.66e-08       -1e-07   1.48e-07  -1.37e-07  -2.28e-07   5.84e-08   4.15e-08         344.2        89.1     102.618       0.995         186.8       103.9      27.884       0.983         145.0        65.6       2e+02       0.998         324.5       170.6       1e+02       0.996
000048:  2019-06-02T01:09:21  2019-06-02T01:09:46         1         1         0       -728        710       -208    -8.45e-09   7.85e-09  -2.41e-09  -1.11e-09   1.02e-08  -3.72e-09     6.47e-08  -7.31e-08   2.27e-08   9.77e-09  -9.33e-08   2.42e-08     3.56e-07   -2.5e-07    6.2e-08   1.19e-07  -3.84e-07   9.95e-08    -8.64e-08   1.09e-07  -1.25e-07  -2.05e-07      4e-08   -6.1e-08         340.5        91.4      10.354       0.956         183.1        81.5      11.568       0.960         154.4        51.0       1e+02       0.996         300.1       171.0       7e+01       0.993
000049:  2019-06-02T01:09:43  2019-06-02T01:10:08         0         1         0       -467        549       -151    -5.41e-09   6.07e-09  -1.75e-09  -1.25e-09   7.49e-09   -1.1e-09     5.54e-08  -7.23e-08   1.24e-08   1.04e-08  -8.57e-08   6.51e-09     2.91e-07  -1.98e-07   7.68e-08  -1.18e-07  -3.18e-07   6.27e-08    -8.43e-08  -1.21e-07  -1.29e-07     -2e-07   5.03e-08   4.36e-08         354.8        92.5      53.882       0.991         176.2        81.4     609.219       0.999         164.3       118.3       2e+03       1.000         314.7       168.6       9e+01       0.994
000050:  2019-06-02T01:15:08  2019-06-02T01:15:33         1         0         1       -649        181        327    -7.53e-09      2e-09   3.79e-09  -2.92e-09   4.89e-09  -6.44e-09     4.48e-08   1.08e-08  -3.26e-08   9.28e-09  -1.93e-08   4.83e-08     1.86e-07   -1.6e-07  -3.29e-08   1.49e-07  -1.13e-07   1.39e-07    -6.89e-08  -1.22e-07  -1.25e-07  -2.04e-07   4.06e-08  -5.52e-08         299.1       103.4      17.121       0.972         113.7        88.1       6.690       0.935          69.6        39.2       2e+03       1.000         308.6       168.6       8e+01       0.994
000051:  2019-06-02T01:19:50  2019-06-02T01:20:15         1         0         0       -337        205        219    -3.91e-09   2.28e-09   2.54e-09   1.21e-09   3.15e-09  -3.64e-09     1.35e-08   1.05e-08  -7.86e-09  -4.13e-09  -1.22e-08   1.13e-08     7.99e-08   1.09e-07  -1.16e-07  -1.48e-07  -5.33e-08    7.8e-08     7.22e-08  -1.14e-07   1.19e-07  -1.88e-07  -4.87e-08  -4.56e-08         316.3        86.0       8.290       0.946         156.2        97.6      16.941       0.972           5.3       160.8       1e+03       1.000         132.3       167.6       7e+01       0.993
000052:  2019-06-02T01:37:20  2019-06-02T01:37:45         1         0         0       -367        275       -115    -4.26e-09   3.05e-09  -1.33e-09  -1.34e-09   4.17e-09  -1.97e-09     1.85e-08  -1.76e-08   7.62e-09   6.64e-09  -2.19e-08    9.9e-09    -2.53e-08   1.21e-07  -9.43e-08   1.19e-07   8.54e-08   4.96e-08    -5.97e-08  -9.77e-08  -1.09e-07  -1.66e-07   3.76e-08   4.32e-08         333.3        93.4      10.137       0.955         143.3        67.4       7.357       0.940         315.5        28.8       2e+03       1.000         126.7       164.8       5e+01       0.990
000053:  2019-06-02T01:40:05  2019-06-02T01:40:30         1         1         0       -514        425        152    -5.97e-09    4.7e-09   1.77e-09  -2.34e-09   6.27e-09   -3.4e-09     5.62e-08  -4.67e-08  -2.02e-08   1.36e-08  -5.99e-08   3.64e-08      2.9e-07   -1.9e-07  -6.16e-08   1.95e-07  -1.37e-07   2.15e-07    -6.31e-08  -1.01e-07  -1.05e-07   -1.6e-07   4.09e-08  -4.81e-08         340.9        94.5       9.334       0.952         191.1        67.7       6.600       0.934          81.4        34.4       3e+03       1.000         306.9       165.4       4e+01       0.989
000054:  2019-06-02T01:41:30  2019-06-02T01:41:55         0         1         0       -317        564       -274    -3.68e-09   6.24e-09  -3.17e-09   1.14e-09   7.04e-09   2.28e-09     4.04e-08  -5.59e-08   3.32e-08  -2.69e-09  -6.55e-08  -2.95e-08    -1.93e-07  -2.33e-07   3.02e-07  -1.84e-07  -3.19e-07  -1.81e-07    -5.04e-08   9.93e-08  -1.12e-07  -1.52e-07    5.4e-08  -5.21e-08           0.5        87.2      19.616       0.976         136.3        95.1      33.498       0.986         192.0       130.2       6e+02       0.999         301.1       163.4       3e+01       0.985
000055:  2019-06-02T01:48:52  2019-06-02T01:49:17         1         1         0       -611        734       -131    -7.09e-09   8.12e-09  -1.52e-09  -1.14e-09   9.72e-09  -2.36e-09     6.59e-08  -6.68e-08  -1.36e-08  -5.31e-09  -8.49e-08   2.27e-08     4.14e-07  -3.51e-07   6.99e-08  -1.48e-07  -4.71e-07   1.14e-07    -6.72e-08  -7.32e-08  -9.67e-08   -1.4e-07   4.15e-08  -4.94e-08         351.3        90.6      49.272       0.990         169.6        93.0     123.545       0.996         154.6       144.8       4e+01       0.986         290.6       166.3       3e+01       0.985
000056:  2019-06-02T01:49:02  2019-06-02T01:49:27         1         1         0       -583        623       -112    -6.77e-09   6.89e-09   -1.3e-09   1.35e-09   8.84e-09  -2.24e-09     6.33e-08  -6.57e-08    9.7e-09  -3.85e-09  -8.21e-08   2.36e-08     4.25e-07  -3.17e-07   8.18e-08  -1.47e-07  -4.79e-07   1.08e-07    -5.39e-08  -7.92e-08  -9.07e-08  -1.36e-07   4.38e-08  -4.61e-08         345.7        86.7      18.772       0.975         160.0        94.3      21.263       0.978         161.0       131.6       7e+02       0.999         299.4       164.2       3e+01       0.986
000057:  2019-06-02T02:24:08  2019-06-02T02:24:33         0         0         1       -337       1099       -893    -3.91e-09   1.22e-08  -1.03e-08   -1.4e-09   1.25e-08   8.82e-09     2.02e-08  -5.73e-08   5.01e-08   -2.8e-09  -5.68e-08  -4.37e-08     2.38e-07  -2.79e-07   1.87e-07  -1.51e-07  -3.18e-07  -5.26e-08    -5.33e-08   5.24e-08   7.14e-08  -7.39e-08   5.78e-08  -5.55e-08          36.5        92.8      30.290       0.984         223.6        92.6       7.957       0.944         183.2       164.0       1e+02       0.996         298.9       152.5           4       0.909
000058:  2019-06-02T02:24:13  2019-06-02T02:24:38         0         1         0       -279        561       -398    -3.24e-09   6.21e-09   -4.6e-09  -1.09e-09   7.12e-09   3.55e-09     2.43e-08  -5.59e-08   4.94e-08   1.89e-09  -5.49e-08  -4.36e-08      2.4e-07  -2.36e-07   1.78e-07   1.51e-07  -3.08e-07  -4.43e-08    -3.07e-08    5.6e-08  -6.82e-08  -7.42e-08   4.22e-08  -4.28e-08          30.5        93.7      11.442       0.960         242.1        88.6      49.950       0.990         179.5        23.3       2e+02       0.998         300.2       154.2           7       0.934
000059:  2019-06-02T02:37:14  2019-06-02T02:37:39         1         1         0       -475        579       -171    -5.51e-09   6.41e-09  -1.99e-09   1.16e-09    7.5e-09  -1.95e-09     2.12e-08  -2.17e-08   5.31e-09   2.77e-09  -2.81e-08   4.79e-09     9.13e-08   -1.2e-07   1.21e-07  -1.54e-07  -1.01e-07   7.13e-08     3.38e-08   5.24e-08   6.11e-08  -6.14e-08   4.25e-08  -4.77e-08         354.9        86.2      16.169       0.971         169.2        86.3      30.284       0.984         258.2       156.2       2e+03       1.000         306.6       143.1           2       0.811
000060:  2019-06-02T02:56:53  2019-06-02T02:57:18         1         0         1       -562        175        329    -6.52e-09   1.94e-09    3.8e-09  -1.69e-09   4.05e-09  -5.92e-09     4.44e-08  -1.58e-08  -2.79e-08  -2.29e-09     -3e-08   4.16e-08     1.71e-07   -6.4e-08  -8.39e-08    1.4e-07  -7.57e-08   9.02e-08    -3.63e-08   3.51e-08   3.04e-08  -3.51e-08   3.46e-08  -3.12e-08         302.7        97.6      29.923       0.984         125.9        93.4      25.354       0.981         138.4        14.6       3e+03       1.000         318.2       129.6         0.5       0.658
000061:  2019-06-02T03:01:42  2019-06-02T03:02:07         1         0         1        638       -290       -427     7.41e-09  -3.21e-09  -4.94e-09   1.12e-09  -5.36e-09   7.07e-09    -3.57e-08   1.21e-08    2.5e-08   6.18e-10   2.31e-08  -3.56e-08    -1.53e-07  -1.35e-07   3.57e-07   -1.2e-07   9.22e-08  -3.71e-07    -5.88e-08   4.57e-08   4.97e-08   4.26e-08   5.11e-08  -6.07e-08         124.8        87.5      28.193       0.983         299.0        89.2     197.975       0.997         242.0       114.2       2e+03       1.000         302.8        86.3           1       0.775
000062:  2019-06-02T03:03:59  2019-06-02T03:04:24         1         0         1      -1335      -3094       2994    -1.55e-08  -3.42e-08   3.46e-08  -1.03e-08   -2.4e-08  -4.06e-08     9.16e-08   2.05e-07  -2.08e-07   5.84e-08   1.45e-07   2.44e-07     1.46e-07   7.74e-07  -5.14e-07   2.75e-07   5.96e-07   6.14e-07    -4.22e-08   -5.1e-08   4.13e-08  -4.19e-08  -4.62e-08  -5.27e-08         239.3       101.8     296.383       0.998          60.1        79.3     109.933       0.995          31.8        58.0       8e+03       1.000         329.1       112.7        0.06       0.527
000063:  2019-06-02T03:04:03  2019-06-02T03:04:28         0         1         1       -630      -1862       1640     -7.3e-09  -2.06e-08    1.9e-08  -5.95e-09  -1.53e-08   -2.2e-08     9.15e-08   2.04e-07  -2.07e-07   5.82e-08   1.43e-07   2.43e-07     1.23e-07   7.32e-07  -4.68e-07   2.61e-07   5.67e-07    5.6e-07    -3.99e-08  -4.69e-08   3.99e-08     -4e-08  -4.21e-08  -4.81e-08         236.3       102.5     108.454       0.995          58.9        78.8     322.619       0.998          31.5        58.5       2e+04       1.000         325.1       112.9      -0.006       0.497
000064:  2019-06-02T03:19:35  2019-06-02T03:20:00         0         1         0       -426        706       -356    -4.94e-09   7.81e-09  -4.12e-09   1.24e-09   9.17e-09    2.1e-09     4.46e-08  -6.09e-08  -1.86e-08   1.28e-09  -7.25e-08   2.58e-08     1.37e-07  -1.17e-07   1.24e-07   9.82e-08  -1.83e-07   5.39e-08    -9.65e-08   5.93e-08  -6.87e-08   3.13e-08   7.82e-08   8.99e-08          11.1        86.7      22.148       0.978         205.5        89.4     455.262       0.999         201.3        54.1       1e+03       1.000         122.1        89.7           2       0.850
000065:  2019-06-02T03:24:19  2019-06-02T03:24:44         0         1         0       -146        443       -284     -1.7e-09    4.9e-09  -3.28e-09   1.89e-09   4.28e-09   3.39e-09    -5.17e-09  -2.32e-08    1.7e-08  -7.58e-09  -1.83e-08  -1.97e-08     2.76e-08  -1.19e-07   1.27e-07  -1.08e-07  -8.92e-08  -1.01e-07     7.74e-08  -5.17e-08  -5.81e-08  -3.27e-08   6.38e-08   7.81e-08          38.5        75.6       6.945       0.937         215.7       103.3      17.335       0.973         295.2       139.8       9e+02       0.999         117.5        93.2           1       0.744
000066:  2019-06-02T03:35:19  2019-06-02T03:35:44         1         1         1       -373       1256       -891    -4.33e-09   1.39e-08  -1.03e-08  -1.12e-09    1.4e-08   8.46e-09     2.18e-08  -8.03e-08   5.87e-08   1.25e-09  -8.25e-08  -4.79e-08     4.01e-08     -1e-07   1.64e-07  -9.58e-08  -1.27e-07   -1.2e-07     8.35e-08   4.68e-08   5.41e-08  -3.28e-08  -5.93e-08  -7.54e-08          29.4        90.0      77.861       0.994         216.2        89.8      82.861       0.994         234.1       130.1       9e+02       0.999         300.8        91.7         0.8       0.723
000067:  2019-06-02T03:48:58  2019-06-02T03:49:23         1         0         1        463        235       -559     5.38e-09   2.61e-09  -6.47e-09  -2.45e-09   2.75e-09   7.76e-09     -2.4e-08   1.48e-08   1.99e-08  -3.29e-09   1.96e-08  -2.55e-08    -6.22e-08  -1.17e-07   2.23e-07  -1.31e-07  -1.29e-07  -1.89e-07    -6.85e-08  -5.07e-08  -6.02e-08  -5.76e-08  -5.91e-08   6.31e-08         103.4        93.9       3.787       0.896         332.8        97.6       6.247       0.931         234.2       128.0       5e+02       0.999          62.2        99.9        0.08       0.538
000068:  2019-06-02T04:11:15  2019-06-02T04:11:40         1         0         1        764       -161       -591     8.86e-09  -1.79e-09  -6.84e-09   1.75e-09  -4.52e-09   9.62e-09     -4.2e-08   6.71e-09   3.31e-08  -5.26e-09    1.8e-08  -4.68e-08       -8e-08  -5.41e-08   1.14e-07  -7.63e-08    5.2e-08  -1.19e-07     5.41e-08  -4.77e-08   5.65e-08  -4.28e-08   4.95e-08  -5.36e-08         112.6        85.4      44.304       0.989         283.7        93.5      46.703       0.990         301.1       133.6       1e+03       1.000         307.8       110.8         0.7       0.711
000069:  2019-06-02T04:19:07  2019-06-02T04:19:32         0         1         0       -239        614       -388    -2.77e-09    6.8e-09  -4.49e-09   1.02e-09   7.22e-09   3.53e-09     1.01e-08  -3.15e-08   2.16e-08  -1.74e-09  -3.29e-08  -1.69e-08     1.14e-07  -2.11e-07   1.26e-07   8.11e-08  -2.14e-07  -7.86e-08     4.22e-08   5.19e-08  -5.32e-08   4.74e-08   5.25e-08   5.46e-08          25.0        88.6      19.840       0.976         203.4        91.2      83.212       0.994         137.8        46.6       3e+02       0.998         132.7        55.7         0.9       0.734
000070:  2019-06-02T04:35:46  2019-06-02T04:36:11         0         0         1       -170        189       1435    -1.97e-09    2.1e-09   1.66e-08   1.08e-08  -3.44e-09  -1.26e-08     8.72e-09  -5.13e-09  -9.35e-08  -6.22e-08   1.84e-08      7e-08    -3.41e-08   6.23e-08  -3.75e-07  -2.71e-07   1.34e-07   2.68e-07      9.8e-08  -7.33e-08    9.2e-08   5.49e-08  -8.32e-08  -1.08e-07         255.6        49.2      33.990       0.986          70.1       134.2      19.723       0.976          34.6       106.8       1e+01       0.964         305.3        75.0           2       0.817
000071:  2019-06-02T04:37:57  2019-06-02T04:38:22         0         1         0       -282        465       -349    -3.28e-09   5.15e-09  -4.04e-09  -1.59e-09   5.82e-09   3.32e-09     1.46e-08  -1.88e-08   9.66e-09   2.89e-09  -2.29e-08  -5.82e-09     7.33e-08  -6.29e-08   6.09e-08   5.85e-08  -9.01e-08  -2.19e-08     1.45e-07  -8.51e-08  -1.15e-07  -5.24e-08   -1.1e-07   1.48e-07          19.2        92.2       2.450       0.855         184.6        85.5       7.834       0.943         231.8        15.8           9       0.948         127.7       102.4         0.7       0.701
000072:  2019-06-02T04:41:16  2019-06-02T04:41:41         1         1         0       -546        583       -157    -6.33e-09   6.45e-09  -1.82e-09   1.46e-09   7.89e-09  -2.43e-09     3.43e-08  -4.18e-08   8.08e-09  -2.16e-09  -5.05e-08   7.52e-09     1.09e-07  -6.28e-08   6.67e-08   7.98e-08  -1.15e-07   5.84e-09    -1.11e-07   8.67e-08   1.06e-07  -5.36e-08   9.95e-08   -1.3e-07         349.7        87.9      12.507       0.963         175.1        90.4      26.772       0.982         183.2        33.6       8e+02       0.999         305.9       101.7           2       0.823
000073:  2019-06-02T04:46:53  2019-06-02T04:47:18         1         0         0        323        113       -178     3.75e-09   1.25e-09  -2.06e-09   1.62e-09  -2.39e-09   3.23e-09    -2.28e-08   5.71e-09   1.26e-08  -5.88e-09    1.1e-08  -2.13e-08    -2.46e-08   7.76e-08  -6.56e-08  -8.32e-08   5.91e-08   3.07e-08    -1.08e-07    6.4e-08    1.1e-07   5.19e-08   8.69e-08  -1.22e-07         112.5        72.1       3.954       0.899         287.4       109.0      57.778       0.991         331.7       154.8       3e+02       0.998         306.0        81.7           2       0.826
000074:  2019-06-02T05:11:41  2019-06-02T05:12:06         1         0         0        541       -470       -263     6.28e-09   -5.2e-09  -3.04e-09   1.73e-09  -6.31e-09   5.25e-09    -3.51e-08   2.63e-08   2.06e-08   3.21e-09   3.58e-08   -2.7e-08    -1.48e-07   6.33e-08   4.97e-08  -9.59e-08   8.29e-08   -8.1e-08     1.33e-07  -9.03e-08   1.04e-07  -6.01e-08      1e-07  -1.24e-07         147.8        86.1       3.893       0.898           8.9        83.5      16.936       0.972         308.1       155.2       5e+02       0.999         304.0        97.1           1       0.790
000075:  2019-06-02T05:19:28  2019-06-02T05:19:53         0         1         1        986      14253     -27620     1.14e-08   1.58e-07  -3.19e-07  -1.08e-07   1.77e-07    2.7e-07    -2.35e-08  -8.39e-07   1.72e-06   5.87e-07  -9.46e-07  -1.45e-06    -7.77e-08  -2.07e-06   4.42e-06   1.58e-06  -2.38e-06   -3.7e-06    -3.29e-07   9.54e-07  -1.69e-06  -7.29e-07   1.21e-06   1.26e-06          56.7       108.6    9325.549       1.000         236.6        71.4    4657.857       1.000         238.1        66.9       2e+04       1.000          48.0       107.9           9       0.950
000076:  2019-06-02T05:20:41  2019-06-02T05:21:06         0         1         1        129        613       -655      1.5e-09   6.78e-09  -7.57e-09  -1.16e-09   6.29e-09    7.3e-09    -1.29e-08   2.32e-08  -6.68e-08  -2.92e-08   2.87e-08   5.65e-08     -3.5e-08   6.51e-07  -1.56e-06  -6.33e-07   7.98e-07   1.27e-06     5.95e-08  -6.76e-08  -6.67e-08  -6.88e-08  -7.41e-08   6.78e-08          53.7        91.7      17.919       0.974          85.1       107.8      16.668       0.972          58.5       111.8       2e+05       1.000         130.1       137.8         0.6       0.688
000077:  2019-06-02T05:30:04  2019-06-02T05:30:29         1         0         0        541       -164       -281     6.28e-09  -1.81e-09  -3.25e-09   2.89e-09   -3.9e-09   5.56e-09    -3.35e-08   5.13e-09   1.39e-08  -1.07e-08   1.87e-08  -2.75e-08    -4.54e-08  -1.47e-08  -4.73e-08  -7.17e-08   2.36e-08   -4.8e-08      4.6e-08   5.81e-08    6.5e-08   6.76e-08   5.31e-08  -5.73e-08         121.1        71.6      14.671       0.968         294.4       101.7      31.515       0.985         265.9       146.1       3e+02       0.999         307.4        41.1           1       0.747
000078:  2019-06-02T05:42:59  2019-06-02T05:43:24         0         1         1        144        418       -439     1.68e-09   4.63e-09  -5.08e-09  -1.19e-09   4.01e-09   4.79e-09    -2.04e-09  -1.56e-08   2.31e-08   4.94e-09  -1.56e-08  -2.05e-08     -3.1e-08  -9.97e-08   9.06e-08  -5.43e-08  -6.72e-08  -8.26e-08     4.05e-08   5.34e-08  -4.89e-08    5.9e-08  -3.91e-08   4.08e-08          48.1        92.1       9.478       0.952         229.5        82.4      62.690       0.992         354.3       155.7       2e+02       0.998         136.1        27.3           2       0.828
000079:  2019-06-02T05:51:11  2019-06-02T05:51:36         0         1         1        235        961      -1507     2.73e-09   1.06e-08  -1.74e-08   -4.3e-09      1e-08    1.6e-08      1.6e-08   -6.2e-08   8.17e-08   1.97e-08  -6.54e-08   -6.9e-08    -9.25e-08  -1.63e-07   4.32e-07   1.22e-07  -1.56e-07  -4.01e-07    -3.48e-08   5.29e-08  -5.54e-08  -5.93e-08   5.31e-08      5e-08          56.8       100.5      97.251       0.995         225.1        80.9      15.813       0.970         246.8        65.0       1e+03       1.000         314.1       157.2           2       0.816
000080:  2019-06-02T05:52:39  2019-06-02T05:53:04         1         0         1      -1511       -345       1958    -1.75e-08  -3.82e-09   2.26e-08   2.39e-09   3.56e-09  -2.66e-08     9.12e-08   2.38e-08  -1.16e-07  -1.05e-08   -1.3e-08    1.4e-07     2.41e-07    7.1e-08  -3.33e-07  -9.29e-08   5.16e-08   3.91e-07     -3.7e-08  -5.18e-08   5.87e-08   6.58e-08  -3.52e-08  -4.74e-08         275.9        87.9     187.612       0.997          98.4        92.7      73.548       0.993         111.3       114.5       2e+02       0.998         309.3        23.9           3       0.886
000081:  2019-06-02T06:05:13  2019-06-02T06:05:38         1         1         1      -1748       7231      -7006    -2.03e-08   7.99e-08   -8.1e-08   -1.5e-08   8.56e-08    6.5e-08     1.05e-07  -4.32e-07   3.83e-07   8.02e-08   -4.5e-07  -3.13e-07     2.95e-07  -1.09e-06   1.35e-06   3.78e-07  -1.23e-06  -1.05e-06    -3.39e-08   8.15e-08  -1.07e-07    7.3e-08   7.48e-08   7.92e-08          36.6        96.7      62.708       0.992         213.1        89.0      19.728       0.976         215.5        78.1       8e+02       0.999         167.4        29.2           2       0.833
000082:  2019-06-02T06:05:34  2019-06-02T06:05:59         0         0         1        212       -405      -1441     2.46e-09  -4.48e-09  -1.67e-08   -1.3e-08  -4.97e-09   1.24e-08     2.48e-08  -7.36e-08   1.49e-07   8.43e-08  -9.02e-08  -1.08e-07     1.59e-07  -5.76e-07    9.5e-07   3.62e-07  -6.97e-07  -7.32e-07     -3.5e-08   6.85e-08  -7.02e-08  -6.69e-08   5.24e-08   5.09e-08          72.3       132.2     120.862       0.996         250.8        35.5       6.277       0.931         224.2        69.0       2e+04       1.000         317.4       160.7           4       0.898
000083:  2019-06-02T06:16:41  2019-06-02T06:17:06         1         0         0        459       -158       -414     5.33e-09  -1.76e-09  -4.78e-09   1.51e-09  -2.59e-09    6.4e-09       -3e-08  -8.26e-09   2.71e-08   1.03e-08   7.85e-09  -3.75e-08    -1.25e-07   2.73e-08   6.62e-08  -7.03e-08   7.05e-08  -9.38e-08     4.18e-08   4.49e-08   7.02e-08   6.76e-08   3.39e-08   7.06e-08         109.7        87.1       7.769       0.943         278.6        73.1      41.957       0.988         344.5       158.6       3e+01       0.982         142.1        15.0           3       0.861
000084:  2019-06-02T06:17:01  2019-06-02T06:17:26         1         0         1        458        139       -418     5.32e-09   1.55e-09  -4.84e-09   1.39e-09   -2.2e-09   6.43e-09    -2.77e-08  -1.32e-08   2.84e-08  -5.03e-09  -8.53e-09  -3.71e-08    -7.35e-08   2.64e-08   5.98e-08  -5.91e-08   5.74e-08  -7.88e-08    -3.27e-08    5.3e-08  -5.07e-08  -5.54e-08  -3.65e-08   4.05e-08         103.3        83.9      10.422       0.956         281.8        92.9       5.535       0.923         260.3       133.8       4e+02       0.999         130.8       162.3           4       0.899
000085:  2019-06-02T06:19:12  2019-06-02T06:19:37         0         1         1        -99        576       -542    -1.15e-09   6.38e-09  -6.26e-09   1.07e-09   5.92e-09    5.6e-09    -3.97e-09  -2.98e-08   3.31e-08  -5.16e-09   -2.8e-08  -3.11e-08    -3.15e-08   -5.5e-08   1.27e-07  -2.99e-08  -4.94e-08  -1.21e-07     3.11e-08  -5.55e-08  -4.77e-08   5.81e-08    4.3e-08   3.07e-08          44.1        88.9      24.010       0.980         241.0       101.6      12.998       0.964         257.6       111.0       2e+03       1.000         317.2        18.7           3       0.875
000086:  2019-06-02T06:24:55  2019-06-02T06:25:20         0         0         1        245        273       -646     2.85e-09   3.02e-09  -7.46e-09  -2.16e-09   2.46e-09   7.56e-09     9.08e-09  -1.49e-08    3.5e-08   1.46e-08  -1.88e-08   -2.9e-08    -8.51e-08      1e-08   1.02e-07   5.63e-08   5.15e-08  -8.42e-08       -4e-08   5.06e-08  -4.93e-08   6.55e-08   3.52e-08   3.75e-08          73.4       104.2      18.018       0.974         249.8        63.6       2.381       0.852         208.6        35.8       2e+02       0.998         131.8        17.2           2       0.838
